bus_id,mae
1,0.0008929881695154551
2,0.0026541370797801664
3,0.0012488188775810036
4,0.001450789498316275
5,0.000975235813372844
6,0.0011728989111410605
7,0.0015072747662260725
8,0.002384458401718655
9,0.00019867959860208871
10,0.0020281322904535243
11,0.0019964317212233674
12,0.0024999649138064
13,0.00097744923991126
14,0.00043436200232119173
15,0.0016926673215788763
16,0.001411141495446901
17,0.0006412528253890372
18,0.0006591930179982572
19,0.006069728651562253
20,0.0018868018646497984
21,0.00035365948805937897
22,0.0009135220501873944
23,0.001791310350637178
24,0.0023418971412890667
25,0.002240298889778756
26,0.0007740194733078415
27,0.0004937577086525994
28,0.002410520411826469
29,0.002250960428972502
30,0.001397678819862572
31,0.0016946142589723742
32,0.0023261932907877743
33,0.0033687592962303677
34,0.001552399348568272
35,0.005207491162660959
36,0.0008726308474669586
37,0.0044098489590593285
38,0.0050317236297839395
39,0.005089121815320608
